genomes	Aldersonia_kunmingensis_DSM45001.gbff.gz	Antrihabitans_stalactiti_YC2-7.gbff.gz	Antrihabitans_stalagmiti_YC3-6.gbff.gz	Corynebacterium_diphtheriae_NCTC11397.gbff.gz	Gordonia_amarae_NBRC15530.gbff.gz	Gordonia_araii_NBRC100433.gbff.gz	Gordonia_bronchialis_DSM43247.gbff.gz	Gordonia_effusa_NBRC100432.gbff.gz	Gordonia_malaquae_NBRC108250.gbff.gz	Gordonia_soli_NBRC108243.gbff.gz	Gordonia_sputi_ATCC29627.gbff.gz	Hoyosella_altamirensis_DSM45258.gbff.gz	Hoyosella_lacisalsi_G463.gbff.gz	Hoyosella_rhizosphaerae_CGMCC1_15478.gbff.gz	Jongsikchunia_kroppenstedtii_DSM45133.gbff.gz	Millisia_brevis_NBRC105863.gbff.gz	Mycobacterium_avium_DSM44156.gbff.gz	Mycobacterium_simiae_JCM12377.gbff.gz	Mycobacterium_tuberculosis_H37Rv.gbff.gz	Mycobacteroides_abscessus_ATCC19977.gbff.gz	Mycobacteroides_chelonae_CCUG47445.gbff.gz	Mycolicibacillus_parakoreensis_DSM45575.gbff.gz	Mycolicibacillus_trivialis_DSM44153.gbff.gz	Mycolicibacter_arupensis_DSM44942.gbff.gz	Mycolicibacter_sinensis_JDM601.gbff.gz	Mycolicibacter_terrae_JCM12143.gbff.gz	Mycolicibacterium_chlorophenolicum_JCM7439_NBRC15527.gbff.gz	Mycolicibacterium_fallax_JCM6405.gbff.gz	Mycolicibacterium_setense_DSM45070.gbff.gz	Nocardia_asteroides_NCTC11293.gbff.gz	Nocardia_cyriacigeorgica_DSM44484.gbff.gz	Nocardia_mexicana_DSM44952.gbff.gz	Nocardia_pneumoniae_NBRC100136.gbff.gz	Nocardia_tenerifensis_DSM44704.gbff.gz	Nocardia_terpenica_IFM0706.gbff.gz	Rhodococcus_equi_DMS20307.gbff.gz	Rhodococcus_erythropolis_NBRC15567T.gbff.gz	Rhodococcus_fascians_NBRC12155T.gbff.gz	Rhodococcus_kroppenstedtii_DSM44908.gbff.gz	Rhodococcus_kyotonensis_JCM23211.gbff.gz	Rhodococcus_maanshanensis_NBRC100610.gbff.gz	Rhodococcus_opacus_DSM43205T.gbff.gz	Rhodococcus_rhodnii_ATCC35071.gbff.gz	Rhodococcus_rhodochrous_NBRC16069T.gbff.gz	Rhodococcus_ruber_DSM43338T.gbff.gz	Skermania_piniformis_DSM43998.gbff.gz	Smaragdicoccus_niigatensis_DSM_44881.gbff.gz	Tomitella_biformata_AHU_1821.gbff.gz	Tomitella_fengzijianii_HY188.gbff.gz	Tomitella_gaofuii_HY172.gbff.gz	Tsukamurella_paurometabola_DSM20162.gbff.gz	Tsukamurella_pulmonis_NCTC13230.gbff.gz	Tsukamurella_spumae_DSM44113.gbff.gz	Williamsia_deligens_DSM44902.gbff.gz	Williamsia_maris_DSM44693.gbff.gz	Williamsia_muralis_DSM44343.gbff.gz
Gordonia_sputi_ATCC29627.gbff.gz	70.65	70.41	70.51	58.29	80.39	76.48	82.91	78.57	75.98	81.78	100.00	67.61	67.05	67.02	74.36	67.95	68.03	67.84	67.63	68.50	68.56	67.54	67.76	67.72	67.87	67.83	68.58	68.11	68.39	69.99	70.30	69.73	70.48	70.17	69.80	71.51	70.73	70.54	70.46	70.59	71.35	71.47	70.83	70.88	71.15	69.41	68.05	67.84	67.64	67.61	70.16	69.99	70.06	75.53	76.13	76.07
Hoyosella_altamirensis_DSM45258.gbff.gz	71.28	71.17	71.47	57.99	67.39	66.74	67.90	67.20	66.36	67.80	67.61	100.00	77.55	78.62	67.71	68.36	67.76	67.38	67.27	68.44	68.32	67.00	67.54	67.13	67.18	67.48	67.92	67.63	68.08	70.97	71.44	70.73	71.44	71.08	70.63	72.75	71.93	71.34	71.09	71.54	72.90	72.90	71.19	72.37	72.47	70.12	68.95	69.50	69.03	69.03	67.38	67.45	67.40	67.80	67.90	68.77
Hoyosella_lacisalsi_G463.gbff.gz	70.18	70.05	70.41	57.72	66.93	66.29	67.27	66.77	66.28	67.26	67.05	77.55	100.00	80.52	67.16	67.58	67.33	67.01	66.94	67.80	67.70	66.85	67.13	66.84	66.80	66.94	67.46	67.18	67.35	70.02	70.48	69.58	70.26	69.88	69.67	71.57	70.68	70.42	70.23	70.51	71.39	71.49	70.60	71.44	71.66	69.36	68.35	68.63	68.54	68.71	67.27	67.12	67.00	67.33	67.32	67.99
Hoyosella_rhizosphaerae_CGMCC1_15478.gbff.gz	70.28	70.34	70.61	57.70	66.65	66.30	67.14	66.57	66.00	67.29	67.02	78.62	80.52	100.00	67.00	67.74	67.18	66.80	66.75	67.83	67.67	66.55	66.74	66.85	66.73	67.00	67.37	67.01	67.47	69.96	70.21	69.62	70.30	69.91	69.72	71.67	71.00	70.48	70.09	70.53	71.61	71.76	70.50	71.24	71.50	69.08	68.21	68.80	68.23	68.31	66.78	66.82	66.86	67.28	67.22	68.06
Jongsikchunia_kroppenstedtii_DSM45133.gbff.gz	70.80	70.35	70.67	58.45	74.42	73.35	74.90	74.59	72.61	75.12	74.36	67.71	67.16	67.00	100.00	68.23	68.38	67.97	67.64	69.04	69.01	67.72	68.05	68.12	68.07	68.18	68.62	68.48	68.66	70.25	70.70	70.10	70.60	70.29	70.21	72.06	71.08	70.64	70.62	70.78	71.89	71.88	70.79	71.49	71.78	70.02	68.21	68.36	67.84	68.02	70.78	71.00	70.69	75.16	75.72	76.87
Millisia_brevis_NBRC105863.gbff.gz	71.92	71.90	71.95	57.83	67.98	67.26	68.43	67.84	67.10	68.62	67.95	68.36	67.58	67.74	68.23	100.00	68.26	67.87	67.80	68.65	68.62	67.68	68.21	67.98	68.12	67.93	68.65	68.32	68.41	71.49	71.87	71.23	72.00	71.55	71.36	72.86	72.17	72.73	73.38	72.85	72.77	72.92	72.21	72.45	72.93	71.47	69.13	68.41	68.22	68.34	67.97	67.90	67.76	68.54	68.28	68.79
Mycobacterium_avium_DSM44156.gbff.gz	70.89	70.67	70.75	57.53	67.99	67.66	68.56	67.81	66.79	68.49	68.03	67.76	67.33	67.18	68.38	68.26	100.00	87.27	86.46	75.98	75.90	79.74	80.33	80.40	81.02	81.11	80.30	78.11	80.21	70.16	70.65	70.13	70.98	70.54	70.41	71.36	70.47	70.37	70.37	70.45	71.42	71.48	70.40	71.07	71.61	70.34	68.32	67.68	67.60	67.79	67.84	67.78	67.57	68.62	68.36	68.92
Mycobacterium_simiae_JCM12377.gbff.gz	70.49	70.36	70.40	57.29	67.64	67.35	68.37	67.40	66.31	68.15	67.84	67.38	67.01	66.80	67.97	67.87	87.27	100.00	85.60	75.83	75.62	79.03	79.74	79.72	80.43	80.46	79.78	77.63	79.77	69.79	70.23	69.75	70.53	69.99	70.02	70.90	70.13	69.88	70.01	70.09	71.19	71.22	70.08	70.90	71.17	70.05	68.17	67.30	67.21	67.38	67.77	67.48	67.49	68.12	68.06	68.53
Mycobacterium_tuberculosis_H37Rv.gbff.gz	70.33	70.07	70.28	57.17	67.24	67.08	68.17	67.18	66.30	67.78	67.63	67.27	66.94	66.75	67.64	67.80	86.46	85.60	100.00	75.50	75.39	79.21	79.89	80.02	80.63	80.72	79.69	77.48	79.58	69.65	70.03	69.53	70.34	69.75	69.78	70.72	70.02	69.65	69.86	69.95	70.81	70.89	70.03	70.65	71.01	70.03	67.96	67.29	67.17	67.20	67.26	67.16	67.08	67.98	67.86	68.29
Mycobacteroides_abscessus_ATCC19977.gbff.gz	71.61	71.60	71.76	57.84	68.46	67.80	69.05	68.26	67.34	69.10	68.50	68.44	67.80	67.83	69.04	68.65	75.98	75.83	75.50	100.00	93.89	74.61	75.07	75.57	75.62	75.59	76.78	75.21	76.70	70.84	71.17	70.74	71.47	71.06	70.88	72.37	71.71	71.20	71.06	71.39	72.55	72.54	71.04	71.99	72.24	70.66	69.13	68.48	68.10	68.28	68.41	68.39	68.30	68.85	69.09	69.50
Mycobacteroides_chelonae_CCUG47445.gbff.gz	71.59	71.52	71.77	57.80	68.62	67.76	68.95	68.28	67.25	68.89	68.56	68.32	67.70	67.67	69.01	68.62	75.90	75.62	75.39	93.89	100.00	74.34	74.99	75.50	75.52	75.50	76.50	75.09	76.61	70.88	71.31	70.64	71.44	71.09	70.79	72.24	71.72	71.22	71.05	71.38	72.44	72.42	71.12	71.85	72.11	70.56	69.22	68.66	68.05	68.14	68.46	68.36	68.44	68.76	69.05	69.46
Mycolicibacillus_parakoreensis_DSM45575.gbff.gz	69.64	69.43	69.80	57.24	67.13	66.91	67.81	66.98	66.10	67.89	67.54	67.00	66.85	66.55	67.72	67.68	79.74	79.03	79.21	74.61	74.34	100.00	85.33	79.55	80.11	80.09	78.12	77.15	77.99	69.30	69.69	69.30	69.96	69.45	69.24	70.33	69.68	69.34	69.41	69.35	70.62	70.43	69.67	70.24	70.91	69.90	67.34	67.23	67.22	67.40	67.35	67.35	67.24	67.67	67.55	68.08
Mycolicibacillus_trivialis_DSM44153.gbff.gz	70.39	70.05	70.29	57.53	67.51	67.54	68.17	67.43	66.73	68.17	67.76	67.54	67.13	66.74	68.05	68.21	80.33	79.74	79.89	75.07	74.99	85.33	100.00	80.06	80.65	80.52	78.85	77.84	78.70	69.79	70.35	69.66	70.44	69.93	69.73	70.85	70.23	69.91	70.03	69.85	71.18	70.93	70.35	70.78	71.31	70.36	67.96	67.68	67.80	67.88	67.71	67.84	67.80	68.21	68.11	68.37
Mycolicibacter_arupensis_DSM44942.gbff.gz	70.42	70.14	70.17	57.33	67.74	67.33	68.09	67.44	66.73	68.06	67.72	67.13	66.84	66.85	68.12	67.98	80.40	79.72	80.02	75.57	75.50	79.55	80.06	100.00	89.48	89.88	78.77	77.71	79.22	69.90	70.07	69.36	70.33	69.79	69.62	71.02	70.30	69.94	69.93	70.02	71.19	71.05	70.02	70.75	71.31	70.07	68.12	67.65	67.39	67.58	67.70	67.63	67.53	68.15	68.15	68.46
Mycolicibacter_sinensis_JDM601.gbff.gz	70.49	70.09	70.20	57.12	67.65	67.35	68.30	67.48	66.73	68.24	67.87	67.18	66.80	66.73	68.07	68.12	81.02	80.43	80.63	75.62	75.52	80.11	80.65	89.48	100.00	92.69	79.02	78.01	79.48	69.83	70.10	69.56	70.47	70.00	69.68	71.13	70.32	69.96	70.00	70.05	71.26	71.17	70.22	71.01	71.30	70.14	68.07	67.77	67.52	67.56	67.66	67.53	67.51	68.34	68.13	68.59
Mycolicibacter_terrae_JCM12143.gbff.gz	70.57	70.18	70.28	57.23	67.74	67.31	68.23	67.34	66.62	68.23	67.83	67.48	66.94	67.00	68.18	67.93	81.11	80.46	80.72	75.59	75.50	80.09	80.52	89.88	92.69	100.00	79.09	77.89	79.41	69.90	70.16	69.56	70.41	70.03	69.76	71.14	70.28	69.99	69.83	70.01	71.21	71.11	70.07	71.00	71.33	70.20	68.34	67.71	67.56	67.55	67.76	67.47	67.40	68.27	68.14	68.50
Mycolicibacterium_chlorophenolicum_JCM7439_NBRC15527.gbff.gz	70.93	70.92	71.05	57.60	68.28	67.72	68.89	67.99	67.01	68.75	68.58	67.92	67.46	67.37	68.62	68.65	80.30	79.78	79.69	76.78	76.50	78.12	78.85	78.77	79.02	79.09	100.00	79.14	83.53	70.50	70.62	70.25	71.05	70.47	70.41	71.69	70.97	70.79	70.76	70.89	71.86	71.88	70.58	71.40	71.79	70.45	68.81	67.87	67.67	67.83	68.41	68.45	68.30	68.92	68.66	69.15
Mycolicibacterium_fallax_JCM6405.gbff.gz	70.53	70.33	70.51	57.73	68.25	67.74	68.74	68.02	67.19	68.54	68.11	67.63	67.18	67.01	68.48	68.32	78.11	77.63	77.48	75.21	75.09	77.15	77.84	77.71	78.01	77.89	79.14	100.00	79.26	70.25	70.41	69.97	70.52	70.26	70.12	71.25	70.48	70.11	70.22	70.21	71.38	71.28	70.20	71.00	71.33	70.16	68.50	68.20	67.72	67.76	68.15	68.27	68.07	68.58	68.53	68.63
Mycolicibacterium_setense_DSM45070.gbff.gz	71.08	71.20	71.23	57.53	68.28	67.64	68.87	68.22	67.14	68.80	68.39	68.08	67.35	67.47	68.66	68.41	80.21	79.77	79.58	76.70	76.61	77.99	78.70	79.22	79.48	79.41	83.53	79.26	100.00	70.81	71.00	70.46	71.15	70.72	70.58	71.87	71.07	70.83	70.59	70.96	72.15	72.06	70.63	71.41	71.88	70.45	68.82	68.11	67.90	67.98	68.54	68.50	68.26	68.76	68.74	69.15
Nocardia_asteroides_NCTC11293.gbff.gz	78.15	77.65	77.96	58.49	69.90	69.20	70.50	69.80	69.06	70.22	69.99	70.97	70.02	69.96	70.25	71.49	70.16	69.79	69.65	70.84	70.88	69.30	69.79	69.90	69.83	69.90	70.50	70.25	70.81	100.00	85.90	83.03	86.25	85.85	83.05	77.24	76.32	75.66	74.83	75.83	77.52	77.29	74.93	76.27	76.76	76.43	73.31	70.98	70.12	70.13	70.18	70.09	69.97	70.48	70.48	70.99
Nocardia_cyriacigeorgica_DSM44484.gbff.gz	78.94	78.46	78.86	58.88	70.36	69.51	70.73	70.19	69.16	70.75	70.30	71.44	70.48	70.21	70.70	71.87	70.65	70.23	70.03	71.17	71.31	69.69	70.35	70.07	70.10	70.16	70.62	70.41	71.00	85.90	100.00	84.79	88.82	87.48	84.60	77.76	76.77	76.23	75.32	76.27	78.05	77.99	75.42	76.54	77.40	77.08	73.72	71.14	70.30	70.48	70.08	70.09	70.03	70.55	70.71	71.37
Nocardia_mexicana_DSM44952.gbff.gz	77.76	77.48	77.85	58.31	69.50	68.68	69.98	69.37	68.54	70.13	69.73	70.73	69.58	69.62	70.10	71.23	70.13	69.75	69.53	70.74	70.64	69.30	69.66	69.36	69.56	69.56	70.25	69.97	70.46	83.03	84.79	100.00	85.29	84.63	88.68	76.83	75.69	75.26	74.33	75.43	77.03	76.95	74.71	75.71	76.41	76.18	72.97	70.47	69.78	69.88	69.58	69.81	69.50	70.09	70.00	70.72
Nocardia_pneumoniae_NBRC100136.gbff.gz	79.14	78.97	79.28	58.62	70.26	69.37	70.83	70.12	69.01	70.86	70.48	71.44	70.26	70.30	70.60	72.00	70.98	70.53	70.34	71.47	71.44	69.96	70.44	70.33	70.47	70.41	71.05	70.52	71.15	86.25	88.82	85.29	100.00	90.07	85.43	77.81	76.95	76.29	75.37	76.41	78.27	78.04	75.44	76.84	77.61	77.38	73.95	71.22	70.43	70.54	70.21	70.24	70.21	70.74	70.84	71.58
Nocardia_tenerifensis_DSM44704.gbff.gz	78.73	78.56	78.95	58.56	69.93	69.08	70.42	69.69	68.89	70.42	70.17	71.08	69.88	69.91	70.29	71.55	70.54	69.99	69.75	71.06	71.09	69.45	69.93	69.79	70.00	70.03	70.47	70.26	70.72	85.85	87.48	84.63	90.07	100.00	84.65	77.56	76.57	76.07	75.02	76.32	77.89	77.72	75.23	76.34	77.12	76.76	73.43	70.93	70.07	70.22	69.87	69.85	69.77	70.34	70.45	71.27
Nocardia_terpenica_IFM0706.gbff.gz	78.09	77.62	78.11	58.39	69.80	68.84	70.20	69.45	68.66	70.28	69.80	70.63	69.67	69.72	70.21	71.36	70.41	70.02	69.78	70.88	70.79	69.24	69.73	69.62	69.68	69.76	70.41	70.12	70.58	83.05	84.60	88.68	85.43	84.65	100.00	76.65	75.73	75.27	74.59	75.36	76.99	77.00	74.68	75.95	76.59	76.45	72.95	70.54	69.75	69.85	69.72	69.82	69.57	70.12	70.22	70.85
Rhodococcus_equi_DMS20307.gbff.gz	78.68	78.62	79.28	59.25	71.54	70.29	71.80	71.27	70.43	71.86	71.51	72.75	71.57	71.67	72.06	72.86	71.36	70.90	70.72	72.37	72.24	70.33	70.85	71.02	71.13	71.14	71.69	71.25	71.87	77.24	77.76	76.83	77.81	77.56	76.65	100.00	82.82	79.82	77.79	80.16	83.75	84.45	79.34	81.28	82.46	75.60	73.31	73.76	72.44	72.55	71.24	71.24	71.24	71.81	72.09	73.08
Rhodococcus_erythropolis_NBRC15567T.gbff.gz	77.63	78.23	78.87	59.18	70.64	69.48	70.95	70.55	69.50	71.17	70.73	71.93	70.68	71.00	71.08	72.17	70.47	70.13	70.02	71.71	71.72	69.68	70.23	70.30	70.32	70.28	70.97	70.48	71.07	76.32	76.77	75.69	76.95	76.57	75.73	82.82	100.00	79.68	77.31	79.82	82.56	86.07	79.07	79.71	80.71	74.82	72.62	73.40	71.71	71.58	70.59	70.54	70.47	71.14	71.46	72.31
Rhodococcus_fascians_NBRC12155T.gbff.gz	76.74	77.31	77.88	58.67	70.32	69.31	70.96	70.21	69.32	70.92	70.54	71.34	70.42	70.48	70.64	72.73	70.37	69.88	69.65	71.20	71.22	69.34	69.91	69.94	69.96	69.99	70.79	70.11	70.83	75.66	76.23	75.26	76.29	76.07	75.27	79.82	79.68	100.00	78.75	86.57	80.17	80.64	76.56	77.71	78.53	74.51	72.11	72.66	71.27	71.25	70.18	70.11	69.98	71.10	71.43	72.10
Rhodococcus_kroppenstedtii_DSM44908.gbff.gz	75.95	75.66	76.25	58.86	70.24	69.56	70.69	69.97	69.25	70.91	70.46	71.09	70.23	70.09	70.62	73.38	70.37	70.01	69.86	71.06	71.05	69.41	70.03	69.93	70.00	69.83	70.76	70.22	70.59	74.83	75.32	74.33	75.37	75.02	74.59	77.79	77.31	78.75	100.00	78.64	77.99	78.10	76.16	76.65	77.16	74.17	71.38	71.53	71.00	71.03	70.25	70.31	70.21	71.26	71.05	71.72
Rhodococcus_kyotonensis_JCM23211.gbff.gz	77.12	77.47	78.06	58.59	70.32	69.34	70.78	70.18	69.41	71.01	70.59	71.54	70.51	70.53	70.78	72.85	70.45	70.09	69.95	71.39	71.38	69.35	69.85	70.02	70.05	70.01	70.89	70.21	70.96	75.83	76.27	75.43	76.41	76.32	75.36	80.16	79.82	86.57	78.64	100.00	80.50	80.87	76.86	78.12	78.76	74.58	72.16	72.51	71.31	71.42	70.27	70.37	70.25	71.26	71.36	72.12
Rhodococcus_maanshanensis_NBRC100610.gbff.gz	79.00	79.37	79.91	59.03	71.30	70.21	71.71	71.03	70.20	71.87	71.35	72.90	71.39	71.61	71.89	72.77	71.42	71.19	70.81	72.55	72.44	70.62	71.18	71.19	71.26	71.21	71.86	71.38	72.15	77.52	78.05	77.03	78.27	77.89	76.99	83.75	82.56	80.17	77.99	80.50	100.00	84.09	78.50	80.16	81.28	76.26	73.56	73.98	72.47	72.47	71.12	71.14	71.00	71.79	72.30	73.11
Rhodococcus_opacus_DSM43205T.gbff.gz	78.76	79.21	80.05	59.17	71.28	70.29	71.79	71.13	70.24	71.95	71.47	72.90	71.49	71.76	71.88	72.92	71.48	71.22	70.89	72.54	72.42	70.43	70.93	71.05	71.17	71.11	71.88	71.28	72.06	77.29	77.99	76.95	78.04	77.72	77.00	84.45	86.07	80.64	78.10	80.87	84.09	100.00	80.70	81.13	82.40	76.00	73.45	73.79	72.57	72.48	71.26	71.16	71.14	71.96	72.13	73.02
Rhodococcus_rhodnii_ATCC35071.gbff.gz	75.87	75.54	76.00	58.99	70.60	69.81	71.04	70.34	69.56	71.23	70.83	71.19	70.60	70.50	70.79	72.21	70.40	70.08	70.03	71.04	71.12	69.67	70.35	70.02	70.22	70.07	70.58	70.20	70.63	74.93	75.42	74.71	75.44	75.23	74.68	79.34	79.07	76.56	76.16	76.86	78.50	80.70	100.00	78.24	78.68	74.10	71.51	71.81	71.57	71.65	70.55	70.47	70.41	71.15	71.05	71.76
