genomes	Aldersonia_kunmingensis_DSM45001.gbff.gz	Antrihabitans_stalactiti_YC2-7.gbff.gz	Antrihabitans_stalagmiti_YC3-6.gbff.gz	Corynebacterium_diphtheriae_NCTC11397.gbff.gz	Gordonia_amarae_NBRC15530.gbff.gz	Gordonia_araii_NBRC100433.gbff.gz	Gordonia_bronchialis_DSM43247.gbff.gz	Gordonia_effusa_NBRC100432.gbff.gz	Gordonia_malaquae_NBRC108250.gbff.gz	Gordonia_soli_NBRC108243.gbff.gz	Gordonia_sputi_ATCC29627.gbff.gz	Hoyosella_altamirensis_DSM45258.gbff.gz	Hoyosella_lacisalsi_G463.gbff.gz	Hoyosella_rhizosphaerae_CGMCC1_15478.gbff.gz	Jongsikchunia_kroppenstedtii_DSM45133.gbff.gz	Millisia_brevis_NBRC105863.gbff.gz	Mycobacterium_avium_DSM44156.gbff.gz	Mycobacterium_simiae_JCM12377.gbff.gz	Mycobacterium_tuberculosis_H37Rv.gbff.gz	Mycobacteroides_abscessus_ATCC19977.gbff.gz	Mycobacteroides_chelonae_CCUG47445.gbff.gz	Mycolicibacillus_parakoreensis_DSM45575.gbff.gz	Mycolicibacillus_trivialis_DSM44153.gbff.gz	Mycolicibacter_arupensis_DSM44942.gbff.gz	Mycolicibacter_sinensis_JDM601.gbff.gz	Mycolicibacter_terrae_JCM12143.gbff.gz	Mycolicibacterium_chlorophenolicum_JCM7439_NBRC15527.gbff.gz	Mycolicibacterium_fallax_JCM6405.gbff.gz	Mycolicibacterium_setense_DSM45070.gbff.gz	Nocardia_asteroides_NCTC11293.gbff.gz	Nocardia_cyriacigeorgica_DSM44484.gbff.gz	Nocardia_mexicana_DSM44952.gbff.gz	Nocardia_pneumoniae_NBRC100136.gbff.gz	Nocardia_tenerifensis_DSM44704.gbff.gz	Nocardia_terpenica_IFM0706.gbff.gz	Rhodococcus_equi_DMS20307.gbff.gz	Rhodococcus_erythropolis_NBRC15567T.gbff.gz	Rhodococcus_fascians_NBRC12155T.gbff.gz	Rhodococcus_kroppenstedtii_DSM44908.gbff.gz	Rhodococcus_kyotonensis_JCM23211.gbff.gz	Rhodococcus_maanshanensis_NBRC100610.gbff.gz	Rhodococcus_opacus_DSM43205T.gbff.gz	Rhodococcus_rhodnii_ATCC35071.gbff.gz	Rhodococcus_rhodochrous_NBRC16069T.gbff.gz	Rhodococcus_ruber_DSM43338T.gbff.gz	Skermania_piniformis_DSM43998.gbff.gz	Smaragdicoccus_niigatensis_DSM_44881.gbff.gz	Tomitella_biformata_AHU_1821.gbff.gz	Tomitella_fengzijianii_HY188.gbff.gz	Tomitella_gaofuii_HY172.gbff.gz	Tsukamurella_paurometabola_DSM20162.gbff.gz	Tsukamurella_pulmonis_NCTC13230.gbff.gz	Tsukamurella_spumae_DSM44113.gbff.gz	Williamsia_deligens_DSM44902.gbff.gz	Williamsia_maris_DSM44693.gbff.gz	Williamsia_muralis_DSM44343.gbff.gz
Gordonia_sputi_ATCC29627.gbff.gz	59.75	59.54	60.42	42.32	65.52	63.16	71.84	66.92	65.66	68.95	100.00	56.03	54.30	57.25	64.92	61.07	55.75	55.20	52.40	58.42	58.83	57.16	57.24	57.03	55.28	56.68	55.13	56.41	59.01	57.35	57.77	52.86	54.87	50.35	47.12	63.08	62.81	61.57	60.88	61.01	62.19	57.60	61.50	63.57	62.23	59.39	55.29	61.02	59.58	57.39	63.14	61.80	60.13	68.16	68.69	68.20
Hoyosella_altamirensis_DSM45258.gbff.gz	56.12	56.06	58.37	39.60	54.30	55.10	56.61	55.90	55.77	57.15	56.03	100.00	65.68	68.14	56.64	55.10	50.51	50.02	48.95	53.65	53.48	52.93	53.63	52.75	51.56	52.65	50.46	51.12	54.34	54.65	55.72	50.32	52.35	47.37	43.91	58.90	58.07	57.19	57.57	56.65	58.75	54.23	57.27	59.86	59.44	54.76	54.13	57.83	55.22	54.23	56.18	55.31	53.50	56.89	57.28	58.66
Hoyosella_lacisalsi_G463.gbff.gz	53.16	52.02	53.88	46.35	53.04	55.80	54.05	54.78	55.20	54.71	54.30	65.68	100.00	76.83	56.50	52.86	50.17	48.47	49.53	52.12	52.65	54.15	55.62	52.71	50.94	52.19	46.52	52.15	50.64	50.63	52.07	44.72	47.95	42.25	39.34	56.82	54.09	54.75	57.64	53.04	56.09	48.08	56.08	56.99	55.50	55.47	54.08	56.55	55.65	53.47	54.75	53.97	51.43	57.18	55.75	56.02
Hoyosella_rhizosphaerae_CGMCC1_15478.gbff.gz	55.64	54.23	56.44	48.50	55.78	59.50	57.17	58.51	58.74	57.52	57.25	68.14	76.83	100.00	59.62	56.24	52.39	50.41	52.42	55.25	55.55	56.51	58.03	55.14	53.24	55.03	48.78	53.98	53.56	54.46	55.91	48.04	51.52	45.56	42.14	59.87	57.56	58.67	61.20	56.78	59.59	51.15	59.90	60.25	59.02	58.46	55.91	60.15	58.51	56.77	58.62	57.80	54.67	60.31	59.28	58.69
Jongsikchunia_kroppenstedtii_DSM45133.gbff.gz	61.69	60.45	60.54	43.26	62.85	68.20	65.75	68.77	68.11	67.05	64.92	56.64	56.50	59.62	100.00	58.84	60.46	58.29	56.67	62.36	63.10	62.77	63.27	62.28	60.04	61.94	54.50	59.85	61.35	58.96	60.39	54.21	56.03	51.17	47.35	64.24	62.08	59.06	60.17	59.04	64.56	55.98	60.50	63.64	61.71	62.31	57.64	64.30	62.87	60.64	65.01	63.82	61.08	67.81	67.15	67.66
Millisia_brevis_NBRC105863.gbff.gz	57.53	57.42	59.17	41.00	59.27	56.63	60.85	59.05	59.21	61.39	61.07	55.10	52.86	56.24	58.84	100.00	52.14	52.09	49.11	55.70	56.26	52.76	53.06	53.49	51.70	52.89	54.04	53.09	57.53	57.49	57.13	53.12	54.67	51.28	47.05	59.79	62.16	62.16	59.76	61.81	60.32	57.40	59.07	62.98	61.10	58.27	54.04	57.57	55.12	53.76	60.28	58.61	56.83	60.01	60.78	61.53
Mycobacterium_avium_DSM44156.gbff.gz	60.40	56.47	54.75	38.17	56.84	57.11	56.77	57.65	55.82	57.79	55.75	50.51	50.17	52.39	60.46	52.14	100.00	77.96	67.55	63.04	63.33	72.18	70.01	69.42	72.57	73.21	61.74	65.94	69.18	53.09	54.39	51.03	51.85	47.71	44.31	59.24	55.74	53.67	54.87	55.04	57.41	52.64	53.52	58.61	57.43	57.84	52.79	58.00	56.67	55.17	55.30	54.50	52.58	58.28	57.85	59.54
Mycobacterium_simiae_JCM12377.gbff.gz	58.93	56.61	55.01	35.74	55.06	54.56	55.82	56.00	53.69	57.40	55.20	50.02	48.47	50.41	58.29	52.09	77.96	100.00	64.65	62.11	62.61	66.68	64.67	66.51	67.57	69.34	62.67	61.48	68.42	52.84	53.27	51.64	51.87	48.68	44.67	58.29	55.85	53.73	53.15	54.74	56.47	53.67	52.14	57.18	56.23	55.77	52.58	55.90	54.08	52.43	53.90	53.30	50.82	57.63	57.91	59.00
Mycobacterium_tuberculosis_H37Rv.gbff.gz	53.60	51.59	50.83	39.22	52.22	55.01	53.49	54.78	53.13	53.42	52.40	48.95	49.53	52.42	56.67	49.11	67.55	64.65	100.00	58.19	59.06	65.89	66.29	65.51	64.13	65.52	54.34	60.97	60.04	49.54	51.02	46.26	48.22	43.06	41.12	54.74	52.07	50.36	52.50	50.47	54.49	48.64	50.97	53.61	53.73	54.45	50.23	54.50	54.29	52.53	53.12	51.88	50.37	54.84	53.83	54.55
Mycobacteroides_abscessus_ATCC19977.gbff.gz	58.09	58.49	58.88	37.60	56.53	58.77	58.67	61.46	58.12	60.26	58.42	53.65	52.12	55.25	62.36	55.70	63.04	62.11	58.19	100.00	83.27	63.27	63.26	64.32	61.40	63.36	59.52	61.60	66.66	56.99	57.35	53.87	54.37	51.51	48.02	59.73	59.39	56.81	55.61	56.22	60.12	55.00	56.25	58.42	57.99	56.30	54.77	57.96	55.57	54.04	61.12	60.05	56.30	59.88	60.92	60.95
Mycobacteroides_chelonae_CCUG47445.gbff.gz	58.48	59.25	59.44	38.19	56.92	59.83	59.34	62.13	58.72	60.65	58.83	53.48	52.65	55.55	63.10	56.26	63.33	62.61	59.06	83.27	100.00	63.63	63.88	65.08	61.86	63.94	59.26	62.04	67.17	57.54	57.39	53.97	54.72	51.46	48.16	59.92	59.33	56.73	56.43	56.46	60.73	54.68	56.29	58.68	57.90	57.35	55.51	58.20	56.12	54.56	61.83	60.42	56.41	61.10	61.80	61.53
Mycolicibacillus_parakoreensis_DSM45575.gbff.gz	60.17	55.46	54.56	41.10	58.09	60.25	57.64	59.22	58.54	58.27	57.16	52.93	54.15	56.51	62.77	52.76	72.18	66.68	65.89	63.27	63.63	100.00	82.24	72.71	76.23	76.64	59.10	70.94	66.78	53.19	55.04	50.36	50.97	45.76	42.88	59.26	55.42	52.94	56.05	53.93	57.62	50.72	54.83	59.65	58.13	59.98	52.86	61.24	60.37	58.66	57.19	56.56	54.23	59.52	58.53	59.37
Mycolicibacillus_trivialis_DSM44153.gbff.gz	57.56	55.08	54.49	42.61	56.43	61.38	58.16	59.85	59.09	57.69	57.24	53.63	55.62	58.03	63.27	53.06	70.01	64.67	66.29	63.26	63.88	82.24	100.00	73.00	74.22	74.93	56.64	68.26	63.69	52.90	55.15	48.52	50.90	45.35	42.40	59.29	55.16	53.40	57.28	53.29	57.31	50.54	54.98	58.96	57.86	58.95	53.58	60.39	60.49	58.79	58.58	57.18	54.87	59.91	58.60	58.92
Mycolicibacter_arupensis_DSM44942.gbff.gz	57.32	55.85	55.33	39.98	55.97	59.05	57.43	59.05	58.11	57.93	57.03	52.75	52.71	55.14	62.28	53.49	69.42	66.51	65.51	64.32	65.08	72.71	73.00	100.00	77.80	80.02	59.78	65.75	65.65	53.96	55.17	49.55	51.97	46.82	43.83	58.98	56.33	53.80	55.87	53.89	58.23	52.14	54.57	58.13	57.40	57.31	53.28	59.38	58.06	56.75	57.39	56.16	54.12	58.82	58.43	59.06
Mycolicibacter_sinensis_JDM601.gbff.gz	59.20	54.33	53.10	37.67	56.70	57.95	55.87	57.07	56.56	56.70	55.28	51.56	50.94	53.24	60.04	51.70	72.57	67.57	64.13	61.40	61.86	76.23	74.22	77.80	100.00	84.55	59.10	67.45	67.25	52.44	53.82	50.03	50.57	46.09	42.77	58.67	54.84	52.18	53.82	52.77	56.69	50.95	53.33	58.99	57.09	57.85	51.51	59.27	57.92	56.77	54.91	54.12	51.72	56.60	56.59	58.00
Mycolicibacter_terrae_JCM12143.gbff.gz	60.53	56.52	54.93	38.85	57.55	59.50	57.18	58.66	57.63	58.23	56.68	52.65	52.19	55.03	61.94	52.89	73.21	69.34	65.52	63.36	63.94	76.64	74.93	80.02	84.55	100.00	60.02	67.82	67.73	53.57	55.07	50.91	51.72	46.84	43.94	59.46	56.05	53.65	55.47	54.35	58.07	52.10	54.23	59.85	58.08	58.68	52.86	60.18	58.54	57.01	56.56	55.82	53.09	58.47	58.17	59.55
Mycolicibacterium_chlorophenolicum_JCM7439_NBRC15527.gbff.gz	57.39	56.85	56.39	33.41	54.02	51.51	56.53	54.50	53.18	56.99	55.13	50.46	46.52	48.78	54.50	54.04	61.74	62.67	54.34	59.52	59.26	59.10	56.64	59.78	59.10	60.02	100.00	59.15	67.36	53.80	53.05	53.05	52.34	50.26	46.29	57.02	57.62	56.56	53.53	56.47	56.74	56.71	50.83	57.31	56.80	52.82	51.81	54.00	50.76	50.20	54.75	54.08	51.38	56.78	58.61	59.78
Mycolicibacterium_fallax_JCM6405.gbff.gz	58.16	53.47	52.93	41.75	57.64	58.78	57.32	58.67	58.17	56.12	56.41	51.12	52.15	53.98	59.85	53.09	65.94	61.48	60.97	61.60	62.04	70.94	68.26	65.75	67.45	67.82	59.15	100.00	65.27	52.06	53.45	48.27	49.40	44.31	41.77	58.08	55.35	52.65	55.75	52.71	56.51	49.85	53.19	58.39	57.30	59.52	51.58	59.44	56.91	55.41	56.81	56.38	54.07	57.03	56.61	58.16
Mycolicibacterium_setense_DSM45070.gbff.gz	62.90	59.90	59.42	35.88	59.38	58.21	60.12	60.21	58.11	61.85	59.01	54.34	50.64	53.56	61.35	57.53	69.18	68.42	60.04	66.66	67.17	66.78	63.69	65.65	67.25	67.73	67.36	65.27	100.00	58.49	58.86	57.03	56.59	53.37	48.98	61.67	61.04	58.02	55.63	58.77	61.66	58.01	55.85	61.77	60.00	57.94	55.29	59.02	55.92	54.38	59.37	58.60	55.22	59.85	60.99	63.66
Nocardia_asteroides_NCTC11293.gbff.gz	60.83	62.46	63.68	35.49	56.40	56.37	58.28	59.78	58.07	59.52	57.35	54.65	50.63	54.46	58.96	57.49	53.09	52.84	49.54	56.99	57.54	53.19	52.90	53.96	52.44	53.57	53.80	52.06	58.49	100.00	71.29	65.50	68.38	64.00	56.60	61.65	63.15	59.44	56.52	59.50	65.40	59.20	57.04	62.31	61.03	58.25	56.36	57.66	54.30	53.17	58.73	58.38	54.80	58.02	58.52	61.08
Nocardia_cyriacigeorgica_DSM44484.gbff.gz	61.16	61.69	62.90	37.52	56.01	58.37	58.49	59.82	58.74	59.70	57.77	55.72	52.07	55.91	60.39	57.13	54.39	53.27	51.02	57.35	57.39	55.04	55.15	55.17	53.82	55.07	53.05	53.45	58.86	71.29	100.00	65.64	69.52	62.28	55.60	62.80	62.37	58.78	56.78	58.52	64.90	57.94	58.19	61.93	61.35	58.98	55.81	58.83	56.52	55.00	58.18	58.14	54.37	58.16	58.12	60.83
Nocardia_mexicana_DSM44952.gbff.gz	56.96	58.79	59.07	31.33	52.54	51.07	53.94	54.54	52.44	56.40	52.86	50.32	44.72	48.04	54.21	53.12	51.03	51.64	46.26	53.87	53.97	50.36	48.52	49.55	50.03	50.91	53.05	48.27	57.03	65.50	65.64	100.00	65.74	64.02	59.93	56.98	58.66	55.50	50.85	56.62	59.35	56.62	53.04	57.24	55.90	52.50	51.58	53.03	49.72	48.83	54.18	53.76	50.58	53.41	55.11	57.15
Nocardia_pneumoniae_NBRC100136.gbff.gz	58.41	60.11	60.59	33.96	53.59	53.57	55.94	56.98	54.12	57.52	54.87	52.35	47.95	51.52	56.03	54.67	51.85	51.87	48.22	54.37	54.72	50.97	50.90	51.97	50.57	51.72	52.34	49.40	56.59	68.38	69.52	65.74	100.00	64.61	56.42	58.67	59.52	57.06	53.94	57.54	61.37	57.49	54.50	58.89	58.76	54.95	53.95	54.23	51.05	50.13	55.43	54.85	51.82	55.67	56.32	58.16
Nocardia_tenerifensis_DSM44704.gbff.gz	53.22	56.93	57.19	29.39	49.69	47.86	51.38	51.98	49.78	53.85	50.35	47.37	42.25	45.56	51.17	51.28	47.71	48.68	43.06	51.51	51.46	45.76	45.35	46.82	46.09	46.84	50.26	44.31	53.37	64.00	62.28	64.02	64.61	100.00	57.78	53.94	56.93	54.10	49.15	54.43	56.17	54.82	50.14	54.19	53.30	49.24	49.34	49.37	46.35	45.97	52.21	51.96	48.46	51.48	53.11	54.47
Nocardia_terpenica_IFM0706.gbff.gz	48.93	51.91	52.39	28.61	45.55	43.69	47.44	48.23	46.03	49.45	47.12	43.91	39.34	42.14	47.35	47.05	44.31	44.67	41.12	48.02	48.16	42.88	42.40	43.83	42.77	43.94	46.29	41.77	48.98	56.60	55.60	59.93	56.42	57.78	100.00	49.17	51.61	49.77	45.55	49.46	51.06	50.54	46.97	49.34	48.65	45.84	45.97	45.12	43.04	42.74	48.61	48.38	45.49	48.09	49.27	49.75
Rhodococcus_equi_DMS20307.gbff.gz	65.62	61.33	62.77	43.19	60.31	60.43	63.05	62.98	63.54	63.87	63.08	58.90	56.82	59.87	64.24	59.79	59.24	58.29	54.74	59.73	59.92	59.26	59.29	58.98	58.67	59.46	57.02	58.08	61.67	61.65	62.80	56.98	58.67	53.94	49.17	100.00	72.55	63.91	62.94	65.32	73.36	64.27	66.76	71.89	70.86	60.15	57.14	68.13	65.56	63.96	60.95	60.61	57.40	63.18	63.50	66.23
Rhodococcus_erythropolis_NBRC15567T.gbff.gz	62.99	63.20	64.71	39.66	60.73	58.57	63.15	62.60	63.14	64.47	62.81	58.07	54.09	57.56	62.08	62.16	55.74	55.85	52.07	59.39	59.33	55.42	55.16	56.33	54.84	56.05	57.62	55.35	61.04	63.15	62.37	58.66	59.52	56.93	51.61	72.55	100.00	67.17	62.12	68.03	70.89	67.44	64.56	69.16	68.07	58.77	57.31	65.50	61.33	59.95	62.52	61.38	58.58	62.78	64.33	66.80
Rhodococcus_fascians_NBRC12155T.gbff.gz	60.11	60.57	63.04	41.16	58.41	55.79	61.08	60.00	59.29	62.73	61.57	57.19	54.75	58.67	59.06	62.16	53.67	53.73	50.36	56.81	56.73	52.94	53.40	53.80	52.18	53.65	56.56	52.65	58.02	59.44	58.78	55.50	57.06	54.10	49.77	63.91	67.17	100.00	69.86	72.19	63.59	62.80	62.21	65.44	64.34	57.81	55.90	60.20	56.41	55.51	61.22	60.12	57.48	65.44	67.23	66.38
Rhodococcus_kroppenstedtii_DSM44908.gbff.gz	59.26	57.57	59.21	45.83	58.31	58.07	61.17	60.02	60.41	62.32	60.88	57.57	57.64	61.20	60.17	59.76	54.87	53.15	52.50	55.61	56.43	56.05	57.28	55.87	53.82	55.47	53.53	55.75	55.63	56.52	56.78	50.85	53.94	49.15	45.55	62.94	62.12	69.86	100.00	66.15	61.71	57.17	62.48	64.83	63.27	60.46	55.31	60.56	59.07	57.36	60.81	60.28	58.04	66.94	66.20	64.57
Rhodococcus_kyotonensis_JCM23211.gbff.gz	61.68	61.11	62.83	39.94	59.36	55.72	61.61	59.45	58.92	64.51	61.01	56.65	53.04	56.78	59.04	61.81	55.04	54.74	50.47	56.22	56.46	53.93	53.29	53.89	52.77	54.35	56.47	52.71	58.77	59.50	58.52	56.62	57.54	54.43	49.46	65.32	68.03	72.19	66.15	100.00	64.96	64.07	61.89	66.20	65.20	58.05	54.98	60.71	56.42	55.41	60.43	58.96	56.68	63.55	64.97	66.32
Rhodococcus_maanshanensis_NBRC100610.gbff.gz	66.31	64.14	65.17	40.74	60.24	61.79	62.97	63.64	63.89	64.22	62.19	58.75	56.09	59.59	64.56	60.32	57.41	56.47	54.49	60.12	60.73	57.62	57.31	58.23	56.69	58.07	56.74	56.51	61.66	65.40	64.90	59.35	61.37	56.17	51.06	73.36	70.89	63.59	61.71	64.96	100.00	64.42	64.11	68.39	68.49	61.10	59.43	65.82	62.88	60.94	61.73	61.02	57.84	63.19	63.94	65.21
Rhodococcus_opacus_DSM43205T.gbff.gz	60.61	61.10	61.72	34.12	55.66	51.75	59.15	56.33	55.34	59.19	57.60	54.23	48.08	51.15	55.98	57.40	52.64	53.67	48.64	55.00	54.68	50.72	50.54	52.14	50.95	52.10	56.71	49.85	58.01	59.20	57.94	56.62	57.49	54.82	50.54	64.27	67.44	62.80	57.17	64.07	64.42	100.00	58.83	65.29	66.58	53.12	53.95	57.69	54.33	53.55	56.06	55.73	53.25	57.01	59.15	61.64
Rhodococcus_rhodnii_ATCC35071.gbff.gz	58.86	56.40	58.80	44.08	58.29	58.50	60.25	59.54	60.52	61.18	61.50	57.27	56.08	59.90	60.50	59.07	53.52	52.14	50.97	56.25	56.29	54.83	54.98	54.57	53.33	54.23	50.83	53.19	55.85	57.04	58.19	53.04	54.50	50.14	46.97	66.76	64.56	62.21	62.48	61.89	64.11	58.83	100.00	66.86	64.21	58.14	53.48	62.03	60.46	59.18	59.89	58.86	56.31	61.97	61.08	62.45
